epoch	training_loss	training_acc	validation_loss	validation_acc
0	2.1369	0.1777	2.0767	0.2073
1	2.0619	0.2069	2.0861	0.2234
2	2.0162	0.2425	1.9807	0.2382
3	1.9789	0.2637	1.9296	0.2865
4	1.9544	0.2860	1.9047	0.2952
5	1.9294	0.2874	1.8767	0.3100
6	1.8771	0.3112	1.8210	0.3342
7	1.8397	0.3239	1.7862	0.3354
8	1.8072	0.3367	1.7852	0.3515
9	1.7810	0.3459	1.7652	0.3472
10	1.7729	0.3499	1.7343	0.3527
11	1.7509	0.3604	1.7304	0.3626
12	1.7266	0.3740	1.7642	0.3366
13	1.7356	0.3626	1.7195	0.3608
14	1.7085	0.3777	1.6943	0.3694
15	1.6892	0.3858	1.6768	0.3936
16	1.7028	0.3708	1.7035	0.3812
17	1.6932	0.3909	1.6706	0.3998
