epoch	training_loss	training_acc	validation_loss	validation_acc
0	2.0545	0.1862	1.9862	0.2226
1	1.9646	0.2366	1.9105	0.2461
2	1.9094	0.2654	1.8876	0.2873
3	1.8929	0.2721	1.9105	0.2821
4	1.8706	0.2847	1.8420	0.3027
5	1.8563	0.2941	1.8139	0.3248
6	1.8266	0.3033	1.8201	0.3020
7	1.8150	0.3108	1.8003	0.3233
8	1.7638	0.3230	1.7466	0.3424
9	1.7664	0.3239	1.7676	0.3373
10	1.7549	0.3419	1.7543	0.3483
11	1.7183	0.3482	1.7303	0.3417
12	1.7018	0.3542	1.7098	0.3703
0	2.0701	0.1744	2.0298	0.1852
1	2.0066	0.1976	1.9648	0.2300
2	1.9611	0.2316	1.9459	0.2138
3	1.9070	0.2555	1.8688	0.2719
4	1.8833	0.2796	1.8569	0.2968
5	1.8677	0.2774	1.8279	0.3159
6	1.8472	0.2893	1.8408	0.2990
7	1.8382	0.2974	1.8483	0.3027
8	1.8383	0.2928	1.8169	0.3012
9	1.8345	0.3026	1.8157	0.3145
10	1.8105	0.3094	1.7860	0.3314
11	1.8216	0.3020	1.8054	0.3270
12	1.8168	0.3094	1.8096	0.3189
13	1.8085	0.3123	1.8041	0.3167
14	1.8089	0.3167	1.7704	0.3468
